,Accession,Genotype,Segment,Length,Collection_Date,season,Latent
284,OQ764658,H3,4,1701,2022-12-29,2022/23,"[37.82959747314453, 16.942899703979492]"
285,OQ764657,H3,3,2151,2022-12-29,2022/23,"[89.76156616210938, 34.178382873535156]"
286,OQ764656,H3,2,2274,2022-12-29,2022/23,"[62.91782760620117, 11.435338020324707]"
287,OQ764655,H3,1,2280,2022-12-29,2022/23,"[21.458627700805664, -12.162757873535156]"
288,OQ764654,H3,6,1410,2022-12-13,2022/23,"[10.430490493774414, 9.09896183013916]"
289,OQ764653,H3,8,838,2022-12-13,2022/23,"[6.465218544006348, 18.165672302246094]"
290,OQ764652,H3,7,982,2022-12-13,2022/23,"[-5.302353858947754, 19.447898864746094]"
291,OQ764651,H3,5,1497,2022-12-13,2022/23,"[42.69917678833008, 37.3783073425293]"
292,OQ764650,H3,4,1701,2022-12-13,2022/23,"[37.002830505371094, 16.597341537475586]"
293,OQ764649,H3,3,2151,2022-12-13,2022/23,"[89.5656967163086, 34.075801849365234]"
294,OQ764648,H3,2,2274,2022-12-13,2022/23,"[63.165138244628906, 11.570656776428223]"
295,OQ764647,H3,1,2280,2022-12-13,2022/23,"[21.403776168823242, -12.158856391906738]"
296,OQ764646,H3,6,1410,2022-12-13,2022/23,"[10.563384056091309, 9.225262641906738]"
297,OQ764645,H3,8,838,2022-12-13,2022/23,"[6.4847493171691895, 18.153125762939453]"
298,OQ764644,H3,7,982,2022-12-13,2022/23,"[-5.27654504776001, 19.57579803466797]"
299,OQ764643,H3,5,1497,2022-12-13,2022/23,"[42.64447021484375, 37.31803512573242]"
300,OQ764642,H3,4,1701,2022-12-13,2022/23,"[37.2911262512207, 16.71257972717285]"
301,OQ764641,H3,3,2151,2022-12-13,2022/23,"[89.6688003540039, 34.1279296875]"
302,OQ764640,H3,2,2274,2022-12-13,2022/23,"[63.919471740722656, 11.856850624084473]"
303,OQ764639,H3,1,2280,2022-12-13,2022/23,"[21.326919555664062, -12.149290084838867]"
304,OQ764638,H3,6,1410,2023-01-01,2022/23,"[10.33425235748291, 9.06381893157959]"
305,OQ764637,H3,8,838,2023-01-01,2022/23,"[6.57686710357666, 18.230432510375977]"
306,OQ764636,H3,7,982,2023-01-01,2022/23,"[-5.27654504776001, 19.57579803466797]"
307,OQ764635,H3,5,1497,2023-01-01,2022/23,"[42.6004753112793, 37.33844757080078]"
308,OQ764634,H3,4,1701,2023-01-01,2022/23,"[37.785030364990234, 16.958938598632812]"
309,OQ764633,H3,3,2151,2023-01-01,2022/23,"[89.64360809326172, 34.16102981567383]"
310,OQ764632,H3,2,2274,2023-01-01,2022/23,"[62.90662384033203, 11.437220573425293]"
311,OQ764631,H3,1,2280,2023-01-01,2022/23,"[21.365522384643555, -12.15011215209961]"
312,OQ764630,H3,6,1410,2022-12-14,2022/23,"[10.13272476196289, 8.919792175292969]"
313,OQ764629,H3,8,838,2022-12-14,2022/23,"[6.480856418609619, 18.212425231933594]"
314,OQ764628,H3,7,982,2022-12-14,2022/23,"[-5.256856918334961, 19.556331634521484]"
315,OQ764627,H3,5,1497,2022-12-14,2022/23,"[42.359352111816406, 37.26763916015625]"
316,OQ764626,H3,4,1701,2022-12-14,2022/23,"[37.737998962402344, 16.972970962524414]"
317,OQ764625,H3,3,2151,2022-12-14,2022/23,"[89.76156616210938, 34.178382873535156]"
318,OQ764624,H3,2,2274,2022-12-14,2022/23,"[63.69255447387695, 11.800217628479004]"
319,OQ764623,H3,1,2280,2022-12-14,2022/23,"[21.43156623840332, -12.148365020751953]"
320,OQ764622,H1,6,1410,2022-12-20,2022/23,"[16.701379776000977, 20.430221557617188]"
321,OQ764621,H1,8,838,2022-12-20,2022/23,"[3.868973731994629, 19.443593978881836]"
322,OQ764620,H1,7,982,2022-12-20,2022/23,"[-1.0754979848861694, 26.440311431884766]"
323,OQ764619,H1,5,1497,2022-12-20,2022/23,"[32.88146209716797, 34.21046447753906]"
324,OQ764618,H1,4,1701,2022-12-20,2022/23,"[61.471229553222656, 38.6016845703125]"
325,OQ764617,H1,3,2151,2022-12-20,2022/23,"[91.54425048828125, 28.31563377380371]"
326,OQ764616,H1,2,2274,2022-12-20,2022/23,"[83.35592651367188, 19.319055557250977]"
327,OQ764615,H1,1,2280,2022-12-20,2022/23,"[31.539134979248047, -12.752849578857422]"
328,OQ764614,H3,6,1410,2022-12-12,2022/23,"[10.348291397094727, 9.03904914855957]"
329,OQ764613,H3,8,838,2022-12-12,2022/23,"[6.64401912689209, 18.38066864013672]"
330,OQ764612,H3,7,982,2022-12-12,2022/23,"[-5.27654504776001, 19.57579803466797]"
331,OQ764611,H3,5,1497,2022-12-12,2022/23,"[42.56806945800781, 37.28730010986328]"
332,OQ764610,H3,4,1701,2022-12-12,2022/23,"[36.728336334228516, 16.412561416625977]"
333,OQ764609,H3,3,2151,2022-12-12,2022/23,"[89.65396118164062, 34.131046295166016]"
334,OQ764608,H3,2,2274,2022-12-12,2022/23,"[62.973419189453125, 11.468348503112793]"
335,OQ764607,H3,1,2280,2022-12-12,2022/23,"[21.395084381103516, -12.15078067779541]"
336,OQ764606,H3,6,1410,2022-12-11,2022/23,"[10.348291397094727, 9.03904914855957]"
337,OQ764605,H3,8,838,2022-12-11,2022/23,"[6.543180465698242, 18.289501190185547]"
338,OQ764604,H3,7,982,2022-12-11,2022/23,"[-5.27654504776001, 19.57579803466797]"
339,OQ764603,H3,5,1497,2022-12-11,2022/23,"[42.56806945800781, 37.28730010986328]"
340,OQ764602,H3,4,1701,2022-12-11,2022/23,"[36.917213439941406, 16.4801025390625]"
341,OQ764601,H3,3,2151,2022-12-11,2022/23,"[89.72359466552734, 34.148048400878906]"
342,OQ764600,H3,2,2274,2022-12-11,2022/23,"[62.92836380004883, 11.421923637390137]"
343,OQ764599,H3,1,2280,2022-12-11,2022/23,"[21.440889358520508, -12.163453102111816]"
344,OQ764598,H3,6,1410,2022-12-11,2022/23,"[10.345460891723633, 9.0751953125]"
345,OQ764597,H3,8,838,2022-12-11,2022/23,"[6.4972662925720215, 18.296911239624023]"
346,OQ764596,H3,7,982,2022-12-11,2022/23,"[-5.27654504776001, 19.57579803466797]"
347,OQ764595,H3,5,1497,2022-12-11,2022/23,"[42.52516555786133, 37.28330612182617]"
348,OQ764594,H3,4,1701,2022-12-11,2022/23,"[36.86351013183594, 16.52326774597168]"
349,OQ764593,H3,3,2151,2022-12-11,2022/23,"[89.59705352783203, 34.07853698730469]"
350,OQ764592,H3,2,2274,2022-12-11,2022/23,"[62.91782760620117, 11.435338020324707]"
351,OQ764591,H3,1,2280,2022-12-11,2022/23,"[21.53182029724121, -12.174028396606445]"
352,OQ764590,H3,6,1410,2022-12-08,2022/23,"[10.348291397094727, 9.03904914855957]"
353,OQ764589,H3,8,838,2022-12-08,2022/23,"[6.480856418609619, 18.212425231933594]"
354,OQ764588,H3,7,982,2022-12-08,2022/23,"[-5.271947860717773, 19.54527473449707]"
355,OQ764587,H3,5,1497,2022-12-08,2022/23,"[42.607513427734375, 37.343936920166016]"
356,OQ764586,H3,4,1701,2022-12-08,2022/23,"[37.82959747314453, 16.942899703979492]"
357,OQ764585,H3,3,2151,2022-12-08,2022/23,"[89.76156616210938, 34.178382873535156]"
358,OQ764584,H3,2,2274,2022-12-08,2022/23,"[62.91782760620117, 11.435338020324707]"
359,OQ764583,H3,1,2280,2022-12-08,2022/23,"[21.403776168823242, -12.158856391906738]"
360,OQ764582,H3,6,1410,2022-12-18,2022/23,"[10.330894470214844, 9.024144172668457]"
361,OQ764581,H3,8,838,2022-12-18,2022/23,"[6.465218544006348, 18.165672302246094]"
362,OQ764580,H3,7,982,2022-12-18,2022/23,"[-5.287609100341797, 19.588947296142578]"
363,OQ764579,H3,5,1497,2022-12-18,2022/23,"[42.492427825927734, 37.2261848449707]"
364,OQ764578,H3,4,1701,2022-12-18,2022/23,"[36.64779281616211, 16.427082061767578]"
365,OQ764577,H3,3,2151,2022-12-18,2022/23,"[89.72640228271484, 34.17613220214844]"
366,OQ764576,H3,2,2274,2022-12-18,2022/23,"[62.99518966674805, 11.481511116027832]"
367,OQ764575,H3,1,2280,2022-12-18,2022/23,"[21.440889358520508, -12.163453102111816]"
368,OQ764574,H3,6,1410,2022-12-08,2022/23,"[10.34925651550293, 9.074329376220703]"
369,OQ764573,H3,8,838,2022-12-08,2022/23,"[6.4977874755859375, 18.235214233398438]"
370,OQ764572,H3,7,982,2022-12-08,2022/23,"[-5.208387851715088, 19.76523208618164]"
371,OQ764571,H3,5,1497,2022-12-08,2022/23,"[42.47038269042969, 37.2125358581543]"
372,OQ764570,H3,4,1701,2022-12-08,2022/23,"[36.86351013183594, 16.52326774597168]"
373,OQ764569,H3,3,2151,2022-12-08,2022/23,"[89.49610900878906, 34.0721549987793]"
374,OQ764568,H3,2,2274,2022-12-08,2022/23,"[62.75483703613281, 11.411368370056152]"
375,OQ764567,H3,1,2277,2022-12-08,2022/23,"[20.9099063873291, -10.510176658630371]"
376,OQ764566,H3,6,1410,2022-12-06,2022/23,"[10.56235122680664, 9.244108200073242]"
377,OQ764565,H3,8,838,2022-12-06,2022/23,"[6.543287754058838, 18.263154983520508]"
378,OQ764564,H3,7,982,2022-12-06,2022/23,"[-5.201580047607422, 19.599332809448242]"
379,OQ764563,H3,5,1497,2022-12-06,2022/23,"[42.77490997314453, 37.50260925292969]"
380,OQ764562,H3,4,1701,2022-12-06,2022/23,"[37.14228057861328, 16.739107131958008]"
381,OQ764561,H3,3,2151,2022-12-06,2022/23,"[89.1833267211914, 33.82607650756836]"
382,OQ764560,H3,2,2274,2022-12-06,2022/23,"[63.509056091308594, 11.703573226928711]"
383,OQ764559,H3,1,2280,2022-12-06,2022/23,"[21.492904663085938, -12.184693336486816]"
384,OQ764558,H1,6,1410,2022-12-05,2022/23,"[16.76478385925293, 20.4960994720459]"
385,OQ764557,H1,8,838,2022-12-05,2022/23,"[3.940483570098877, 19.503374099731445]"
386,OQ764556,H1,7,982,2022-12-05,2022/23,"[-1.0294995307922363, 26.493276596069336]"
387,OQ764555,H1,5,1497,2022-12-05,2022/23,"[32.80471420288086, 34.202877044677734]"
388,OQ764554,H1,4,1701,2022-12-05,2022/23,"[61.56427764892578, 38.72459030151367]"
389,OQ764553,H1,3,2151,2022-12-05,2022/23,"[91.49105072021484, 28.342008590698242]"
390,OQ764552,H1,2,2274,2022-12-05,2022/23,"[83.38941955566406, 19.32197380065918]"
391,OQ764551,H1,1,2280,2022-12-05,2022/23,"[31.413455963134766, -12.751337051391602]"
392,OQ764550,H3,6,1410,2022-12-05,2022/23,"[10.449153900146484, 9.123825073242188]"
393,OQ764549,H3,8,838,2022-12-05,2022/23,"[6.480856418609619, 18.212425231933594]"
394,OQ764548,H3,7,982,2022-12-05,2022/23,"[-5.269877910614014, 19.61415672302246]"
395,OQ764547,H3,5,1497,2022-12-05,2022/23,"[42.43114471435547, 37.2029914855957]"
396,OQ764546,H3,4,1701,2022-12-05,2022/23,"[37.86041259765625, 16.986366271972656]"
397,OQ764545,H3,3,2151,2022-12-05,2022/23,"[89.85045623779297, 34.222747802734375]"
398,OQ764544,H3,2,2274,2022-12-05,2022/23,"[62.86555099487305, 11.408167839050293]"
399,OQ764543,H3,1,2280,2022-12-05,2022/23,"[21.403776168823242, -12.158856391906738]"
400,OQ764542,H1,6,1410,2022-12-18,2022/23,"[16.694625854492188, 20.458112716674805]"
401,OQ764541,H1,8,838,2022-12-18,2022/23,"[3.936133861541748, 19.60386085510254]"
402,OQ764540,H1,7,982,2022-12-18,2022/23,"[-1.0119895935058594, 26.478267669677734]"
403,OQ764539,H1,5,1497,2022-12-18,2022/23,"[32.88146209716797, 34.21046447753906]"
404,OQ764538,H1,4,1701,2022-12-18,2022/23,"[61.37681579589844, 38.62270736694336]"
405,OQ764537,H1,3,2151,2022-12-18,2022/23,"[90.81998443603516, 28.02157211303711]"
406,OQ764536,H1,2,2274,2022-12-18,2022/23,"[83.2884292602539, 19.31311798095703]"
407,OQ764535,H1,1,2280,2022-12-18,2022/23,"[31.691789627075195, -12.80512523651123]"
408,OQ764534,H1,6,1410,2022-12-02,2022/23,"[16.694625854492188, 20.458112716674805]"
409,OQ764533,H1,8,838,2022-12-02,2022/23,"[3.936133861541748, 19.60386085510254]"
410,OQ764532,H1,7,982,2022-12-02,2022/23,"[-1.0119895935058594, 26.478267669677734]"
411,OQ764531,H1,5,1497,2022-12-02,2022/23,"[32.909915924072266, 34.25315856933594]"
412,OQ764530,H1,4,1701,2022-12-02,2022/23,"[61.42899703979492, 38.61223602294922]"
413,OQ764529,H1,3,2151,2022-12-02,2022/23,"[91.05097961425781, 28.085662841796875]"
414,OQ764528,H1,2,2274,2022-12-02,2022/23,"[83.27863311767578, 19.316404342651367]"
415,OQ764527,H1,1,2280,2022-12-02,2022/23,"[31.691789627075195, -12.80512523651123]"
416,OQ764526,H3,6,1410,2022-12-02,2022/23,"[10.419285774230957, 9.10914134979248]"
417,OQ764525,H3,8,838,2022-12-02,2022/23,"[6.543180465698242, 18.289501190185547]"
418,OQ764524,H3,7,982,2022-12-02,2022/23,"[-5.213077545166016, 19.590234756469727]"
419,OQ764523,H3,5,1497,2022-12-02,2022/23,"[42.63405990600586, 37.3081169128418]"
420,OQ764522,H3,4,1701,2022-12-02,2022/23,"[37.510826110839844, 16.819690704345703]"
421,OQ764521,H3,3,2151,2022-12-02,2022/23,"[89.74689483642578, 34.18571853637695]"
422,OQ764520,H3,2,2274,2022-12-02,2022/23,"[63.0047607421875, 11.545462608337402]"
423,OQ764519,H3,1,2280,2022-12-02,2022/23,"[21.309101104736328, -12.143153190612793]"
424,OQ764518,H1,6,1410,2022-12-16,2022/23,"[16.717151641845703, 20.411685943603516]"
425,OQ764517,H1,8,838,2022-12-16,2022/23,"[3.994861125946045, 19.627397537231445]"
426,OQ764516,H1,7,982,2022-12-16,2022/23,"[-1.044480800628662, 26.4848690032959]"
427,OQ764515,H1,5,1497,2022-12-16,2022/23,"[33.01858901977539, 34.28105163574219]"
428,OQ764514,H1,4,1701,2022-12-16,2022/23,"[61.55099105834961, 38.662254333496094]"
429,OQ764513,H1,3,2151,2022-12-16,2022/23,"[91.6961441040039, 28.470706939697266]"
430,OQ764512,H1,2,2274,2022-12-16,2022/23,"[83.32276153564453, 19.344240188598633]"
431,OQ764511,H1,1,2280,2022-12-16,2022/23,"[31.62068748474121, -12.785765647888184]"
432,OQ764510,H3,6,1410,2022-12-14,2022/23,"[10.338906288146973, 9.074423789978027]"
433,OQ764509,H3,8,838,2022-12-14,2022/23,"[6.524998664855957, 18.342575073242188]"
434,OQ764508,H3,7,982,2022-12-14,2022/23,"[-5.2183451652526855, 19.698150634765625]"
435,OQ764507,H3,5,1497,2022-12-14,2022/23,"[42.599365234375, 37.264225006103516]"
436,OQ764506,H3,4,1701,2022-12-14,2022/23,"[36.86351013183594, 16.52326774597168]"
437,OQ764505,H3,3,2151,2022-12-14,2022/23,"[89.704833984375, 34.0614128112793]"
438,OQ764504,H3,2,2274,2022-12-14,2022/23,"[63.00233840942383, 11.462353706359863]"
439,OQ764503,H3,1,2280,2022-12-14,2022/23,"[21.40440559387207, -12.1537446975708]"
440,OQ764502,H1,6,1410,2022-12-14,2022/23,"[16.82524299621582, 20.543474197387695]"
441,OQ764501,H1,8,838,2022-12-14,2022/23,"[4.018588066101074, 19.660755157470703]"
442,OQ764500,H1,7,982,2022-12-14,2022/23,"[-1.044480800628662, 26.4848690032959]"
443,OQ764499,H1,5,1497,2022-12-14,2022/23,"[32.98648452758789, 34.291011810302734]"
444,OQ764498,H1,4,1701,2022-12-14,2022/23,"[61.46599197387695, 38.77377700805664]"
445,OQ764497,H1,3,2151,2022-12-14,2022/23,"[91.39717102050781, 28.345623016357422]"
446,OQ764496,H1,2,2274,2022-12-14,2022/23,"[82.80672454833984, 19.153169631958008]"
447,OQ764495,H1,1,2280,2022-12-14,2022/23,"[31.58479118347168, -12.78690242767334]"
448,OQ764494,H3,6,1410,2022-12-21,2022/23,"[10.367378234863281, 9.057912826538086]"
449,OQ764493,H3,8,838,2022-12-21,2022/23,"[6.550355911254883, 18.224000930786133]"
450,OQ764492,H3,7,982,2022-12-21,2022/23,"[-5.136422634124756, 19.423131942749023]"
451,OQ764491,H3,5,1497,2022-12-21,2022/23,"[42.54310607910156, 37.29620361328125]"
452,OQ764490,H3,4,1701,2022-12-21,2022/23,"[37.02240753173828, 16.587051391601562]"
453,OQ764489,H3,3,2151,2022-12-21,2022/23,"[89.54656982421875, 34.17037582397461]"
454,OQ764488,H3,2,2274,2022-12-21,2022/23,"[62.79804611206055, 11.408831596374512]"
455,OQ764487,H3,1,2280,2022-12-21,2022/23,"[21.41208267211914, -12.162726402282715]"
456,OQ764486,H1,6,1410,2022-12-17,2022/23,"[16.741554260253906, 20.466838836669922]"
457,OQ764485,H1,8,838,2022-12-17,2022/23,"[3.9194445610046387, 19.489320755004883]"
458,OQ764484,H1,7,982,2022-12-17,2022/23,"[-1.044480800628662, 26.4848690032959]"
459,OQ764483,H1,5,1497,2022-12-17,2022/23,"[32.94792556762695, 34.248313903808594]"
460,OQ764482,H1,4,1701,2022-12-17,2022/23,"[61.517757415771484, 38.679893493652344]"
461,OQ764481,H1,3,2151,2022-12-17,2022/23,"[91.5509262084961, 28.415258407592773]"
462,OQ764480,H1,2,2274,2022-12-17,2022/23,"[83.29498291015625, 19.2852725982666]"
463,OQ764479,H1,1,2280,2022-12-17,2022/23,"[31.612926483154297, -12.754630088806152]"
464,OQ764478,H3,6,1410,2022-12-21,2022/23,"[10.449012756347656, 9.087350845336914]"
465,OQ764477,H3,8,838,2022-12-21,2022/23,"[6.417242050170898, 18.16352653503418]"
466,OQ764476,H3,7,982,2022-12-21,2022/23,"[-5.241629123687744, 19.630556106567383]"
467,OQ764475,H3,5,1497,2022-12-21,2022/23,"[42.580562591552734, 37.28312301635742]"
468,OQ764474,H3,4,1701,2022-12-21,2022/23,"[37.328426361083984, 16.715864181518555]"
469,OQ764473,H3,3,2151,2022-12-21,2022/23,"[89.20870971679688, 33.934722900390625]"
470,OQ764472,H3,2,2274,2022-12-21,2022/23,"[62.5889778137207, 11.404386520385742]"
471,OQ764471,H3,1,2280,2022-12-21,2022/23,"[21.392147064208984, -12.15500259399414]"
472,OQ764470,H1,6,1410,2022-12-19,2022/23,"[16.605308532714844, 20.371538162231445]"
473,OQ764469,H1,8,838,2022-12-19,2022/23,"[3.9660511016845703, 19.628032684326172]"
474,OQ764468,H1,7,982,2022-12-19,2022/23,"[-1.0119895935058594, 26.478267669677734]"
475,OQ764467,H1,5,1497,2022-12-19,2022/23,"[32.88146209716797, 34.21046447753906]"
476,OQ764466,H1,4,1701,2022-12-19,2022/23,"[61.27524948120117, 38.491153717041016]"
477,OQ764465,H1,3,2151,2022-12-19,2022/23,"[91.0348129272461, 28.0628662109375]"
478,OQ764464,H1,2,2274,2022-12-19,2022/23,"[83.01390838623047, 19.273916244506836]"
479,OQ764463,H1,1,2280,2022-12-19,2022/23,"[31.721052169799805, -12.786393165588379]"
480,OQ764462,H3,6,1410,2022-12-20,2022/23,"[10.29759407043457, 9.00126838684082]"
481,OQ764461,H3,8,838,2022-12-20,2022/23,"[6.465218544006348, 18.165672302246094]"
482,OQ764460,H3,7,982,2022-12-20,2022/23,"[-5.259020805358887, 19.578540802001953]"
483,OQ764459,H3,5,1497,2022-12-20,2022/23,"[42.537574768066406, 37.2395133972168]"
484,OQ764458,H3,4,1701,2022-12-20,2022/23,"[37.420814514160156, 16.781023025512695]"
485,OQ764457,H3,3,2151,2022-12-20,2022/23,"[89.64317321777344, 34.13340377807617]"
486,OQ764456,H3,2,2274,2022-12-20,2022/23,"[63.15769577026367, 11.6146240234375]"
487,OQ764455,H3,1,2280,2022-12-20,2022/23,"[21.324377059936523, -12.149243354797363]"
488,OQ764454,H3,6,1410,2022-12-16,2022/23,"[10.345460891723633, 9.0751953125]"
489,OQ764453,H3,8,838,2022-12-16,2022/23,"[6.3966383934021, 18.148714065551758]"
490,OQ764452,H3,7,982,2022-12-16,2022/23,"[-5.30871057510376, 19.554405212402344]"
491,OQ764451,H3,5,1497,2022-12-16,2022/23,"[42.56806945800781, 37.28730010986328]"
492,OQ764450,H3,4,1701,2022-12-16,2022/23,"[36.86351013183594, 16.52326774597168]"
493,OQ764449,H3,3,2151,2022-12-16,2022/23,"[89.33171844482422, 34.100006103515625]"
494,OQ764448,H3,2,2274,2022-12-16,2022/23,"[62.91782760620117, 11.435338020324707]"
495,OQ764447,H3,1,2280,2022-12-16,2022/23,"[21.284208297729492, -12.115362167358398]"
496,OQ764446,H3,6,1410,2022-12-15,2022/23,"[10.38152027130127, 9.078678131103516]"
497,OQ764445,H3,8,838,2022-12-15,2022/23,"[6.465117454528809, 18.175010681152344]"
498,OQ764444,H3,7,982,2022-12-15,2022/23,"[-5.247158527374268, 19.67827606201172]"
499,OQ764443,H3,5,1497,2022-12-15,2022/23,"[42.61464309692383, 37.35515594482422]"
500,OQ764442,H3,4,1701,2022-12-15,2022/23,"[37.821998596191406, 16.952056884765625]"
501,OQ764441,H3,3,2151,2022-12-15,2022/23,"[89.49192810058594, 34.14678955078125]"
502,OQ764440,H3,2,2274,2022-12-15,2022/23,"[62.71519470214844, 11.394135475158691]"
503,OQ764439,H3,1,2280,2022-12-15,2022/23,"[21.383068084716797, -12.147303581237793]"
504,OQ764438,H1,6,1410,2022-12-16,2022/23,"[16.64574432373047, 20.37665557861328]"
505,OQ764437,H1,8,838,2022-12-16,2022/23,"[3.9414620399475098, 19.585481643676758]"
506,OQ764436,H1,7,982,2022-12-16,2022/23,"[-1.041310429573059, 26.515764236450195]"
507,OQ764435,H1,5,1497,2022-12-16,2022/23,"[32.96422576904297, 34.17352294921875]"
508,OQ764434,H1,4,1701,2022-12-16,2022/23,"[60.976741790771484, 38.30118942260742]"
509,OQ764433,H1,3,2151,2022-12-16,2022/23,"[91.0425796508789, 28.29838752746582]"
510,OQ764432,H1,2,2274,2022-12-16,2022/23,"[82.40279388427734, 18.874570846557617]"
511,OQ764431,H1,1,2280,2022-12-16,2022/23,"[30.968942642211914, -12.695968627929688]"
512,OQ764430,H3,6,1410,2022-12-16,2022/23,"[10.297022819519043, 9.040483474731445]"
513,OQ764429,H3,8,838,2022-12-16,2022/23,"[6.47926139831543, 18.2268123626709]"
514,OQ764428,H3,7,982,2022-12-16,2022/23,"[-5.222472667694092, 19.59602165222168]"
515,OQ764427,H3,5,1497,2022-12-16,2022/23,"[42.49375534057617, 37.1915283203125]"
516,OQ764426,H3,4,1701,2022-12-16,2022/23,"[37.66742706298828, 16.863065719604492]"
517,OQ764425,H3,3,2151,2022-12-16,2022/23,"[89.76156616210938, 34.178382873535156]"
518,OQ764424,H3,2,2274,2022-12-16,2022/23,"[62.675010681152344, 11.415092468261719]"
519,OQ764423,H3,1,2280,2022-12-16,2022/23,"[21.41793441772461, -12.153131484985352]"
520,OQ764422,H3,6,1410,2022-12-16,2022/23,"[10.458935737609863, 9.137760162353516]"
521,OQ764421,H3,8,838,2022-12-16,2022/23,"[6.47926139831543, 18.2268123626709]"
522,OQ764420,H3,7,982,2022-12-16,2022/23,"[-5.259020805358887, 19.578540802001953]"
523,OQ764419,H3,5,1497,2022-12-16,2022/23,"[42.537574768066406, 37.2395133972168]"
524,OQ764418,H3,4,1701,2022-12-16,2022/23,"[37.597957611083984, 16.856931686401367]"
525,OQ764417,H3,3,2151,2022-12-16,2022/23,"[89.57129669189453, 34.12969970703125]"
526,OQ764416,H3,2,2274,2022-12-16,2022/23,"[62.79092788696289, 11.42902946472168]"
527,OQ764415,H3,1,2280,2022-12-16,2022/23,"[21.309101104736328, -12.143153190612793]"
528,OQ764414,H3,6,1410,2022-12-15,2022/23,"[10.348291397094727, 9.03904914855957]"
529,OQ764413,H3,8,838,2022-12-15,2022/23,"[6.47926139831543, 18.2268123626709]"
530,OQ764412,H3,7,982,2022-12-15,2022/23,"[-5.259020805358887, 19.578540802001953]"
531,OQ764411,H3,5,1497,2022-12-15,2022/23,"[42.51739501953125, 37.18914794921875]"
532,OQ764410,H3,4,1701,2022-12-15,2022/23,"[37.475311279296875, 16.845003128051758]"
533,OQ764409,H3,3,2151,2022-12-15,2022/23,"[89.76156616210938, 34.178382873535156]"
534,OQ764408,H3,2,2274,2022-12-15,2022/23,"[62.93250274658203, 11.519179344177246]"
535,OQ764407,H3,1,2280,2022-12-15,2022/23,"[21.281658172607422, -12.135912895202637]"
536,OQ764406,H3,6,1410,2022-12-15,2022/23,"[10.432010650634766, 9.115845680236816]"
537,OQ764405,H3,8,838,2022-12-15,2022/23,"[6.5101637840271, 18.203651428222656]"
538,OQ764404,H3,7,982,2022-12-15,2022/23,"[-5.259020805358887, 19.578540802001953]"
539,OQ764403,H3,5,1497,2022-12-15,2022/23,"[42.537574768066406, 37.2395133972168]"
540,OQ764402,H3,4,1701,2022-12-15,2022/23,"[37.475311279296875, 16.845003128051758]"
541,OQ764401,H3,3,2151,2022-12-15,2022/23,"[89.55855560302734, 34.18009948730469]"
542,OQ764400,H3,2,2274,2022-12-15,2022/23,"[63.0047607421875, 11.545462608337402]"
543,OQ764399,H3,1,2280,2022-12-15,2022/23,"[21.309101104736328, -12.143153190612793]"
544,OQ764398,H3,6,1410,2022-12-15,2022/23,"[10.574241638183594, 9.283462524414062]"
545,OQ764397,H3,8,838,2022-12-15,2022/23,"[6.4777727127075195, 18.284643173217773]"
546,OQ764396,H3,7,982,2022-12-15,2022/23,"[-5.217569351196289, 19.65919303894043]"
547,OQ764395,H3,5,1497,2022-12-15,2022/23,"[42.835166931152344, 37.474998474121094]"
548,OQ764394,H3,4,1701,2022-12-15,2022/23,"[37.129276275634766, 16.838682174682617]"
549,OQ764393,H3,3,2151,2022-12-15,2022/23,"[89.00044250488281, 33.740394592285156]"
550,OQ764392,H3,2,2274,2022-12-15,2022/23,"[63.14741897583008, 11.594419479370117]"
551,OQ764391,H3,1,2280,2022-12-15,2022/23,"[21.637306213378906, -12.210021018981934]"
552,OQ764390,H1,6,1410,2022-12-25,2022/23,"[16.70439910888672, 20.438112258911133]"
553,OQ764389,H1,8,838,2022-12-25,2022/23,"[3.994861125946045, 19.627397537231445]"
554,OQ764388,H1,7,982,2022-12-25,2022/23,"[-1.0752993822097778, 26.461286544799805]"
555,OQ764387,H1,5,1497,2022-12-25,2022/23,"[32.93635559082031, 34.217552185058594]"
556,OQ764386,H1,4,1701,2022-12-25,2022/23,"[61.42826843261719, 38.61085891723633]"
557,OQ764385,H1,3,2151,2022-12-25,2022/23,"[91.5153579711914, 28.465017318725586]"
558,OQ764384,H1,2,2274,2022-12-25,2022/23,"[83.39209747314453, 19.319190979003906]"
559,OQ764383,H1,1,2280,2022-12-25,2022/23,"[31.62511444091797, -12.781381607055664]"
560,OQ764382,H1,6,1410,2022-12-25,2022/23,"[16.751379013061523, 20.53676414489746]"
561,OQ764381,H1,8,838,2022-12-25,2022/23,"[3.8270442485809326, 19.4231014251709]"
562,OQ764380,H1,7,982,2022-12-25,2022/23,"[-1.0545811653137207, 26.446903228759766]"
563,OQ764379,H1,5,1497,2022-12-25,2022/23,"[32.98458480834961, 34.2216796875]"
564,OQ764378,H1,4,1701,2022-12-25,2022/23,"[61.34232711791992, 38.58274459838867]"
565,OQ764377,H1,3,2151,2022-12-25,2022/23,"[91.63526153564453, 28.44310188293457]"
566,OQ764376,H1,2,2274,2022-12-25,2022/23,"[83.1352767944336, 19.210500717163086]"
567,OQ764375,H1,1,2280,2022-12-25,2022/23,"[31.715618133544922, -12.761574745178223]"
568,OQ764374,H1,6,1410,2022-12-25,2022/23,"[16.619638442993164, 20.390247344970703]"
